Index,Jurisdiction,Specific Category Value,Count,Generic Category,Comment,Notes
0,MRWA,20.01 Granular overlay,658,Rehabilitation,Change,MRWA values are already stripped of their network cluster name
1,MRWA,20.02 Double Lift Stabilisation,274,Rehabilitation,,MRWA values are already stripped of their network cluster name
2,MRWA,20.03 Structural Asphalt Overlay,10,Rehabilitation,,MRWA values are already stripped of their network cluster name
3,MRWA,20.04 Asphalt Plane & Resurface,82,Rehabilitation,,MRWA values are already stripped of their network cluster name
4,MRWA,30.01 Resurface,9030,Resurfacing_AC,Confirmed by WA to be AC not SS,MRWA values are already stripped of their network cluster name
5,MRWA,30.02 Shoulder Surfacing,12,,"Agreed N/A, as no data for Shoulders",MRWA values are already stripped of their network cluster name
6,MRWA,30.03 Plane and Resurface,1694,Resurfacing_AC,Highly unlikely a seal would be planed / milled.  Not sure why different to 20.04. Check costs for 20.04 and 30.03 are similar.,MRWA values are already stripped of their network cluster name
7,MRWA,30.08 Bridge Deck & Abutment Asphalt Seal,98,Resurfacing_AC,,MRWA values are already stripped of their network cluster name
8,MRWA,30.17 Main Roads Project Management & Supervision,102,,,MRWA values are already stripped of their network cluster name
9,MRWA,31.01 Reseal,4419,Resurfacing_SS,,MRWA values are already stripped of their network cluster name
10,MRWA,31.02 Sealing,40,Resurfacing_SS,,MRWA values are already stripped of their network cluster name
11,MRWA,31.03 2nd Coat Seal,243,Resurfacing_SS,,MRWA values are already stripped of their network cluster name
12,MRWA,31.04 Double Seal,261,Resurfacing_SS,,MRWA values are already stripped of their network cluster name
13,MRWA,31.05 Single/Double seal,1,Resurfacing_SS,,MRWA values are already stripped of their network cluster name
14,MRWA,31.06 Shoulder Sealing,2143,,"Agreed N/A, as no data for Shoulders",MRWA values are already stripped of their network cluster name
15,MRWA,31.07 Reseal PMB,7415,Resurfacing_SS,,MRWA values are already stripped of their network cluster name
16,MRWA,31.08 Patch/Strip Surfacing,62,Resurfacing_SS,,MRWA values are already stripped of their network cluster name
17,MRWA,31.09 Microsurfacing,386,Resurfacing_SS,Actually a thin AC.  But doesn't regulate and cheaper than typical AC overlay.  Suggest excluding as may confuse the model.,MRWA values are already stripped of their network cluster name
18,MRWA,31.10 Enrichments,11,Retexturing,,MRWA values are already stripped of their network cluster name
19,MRWA,31.11 Geotextile Reinforced Reseals (GRS),51,Resurfacing_SS,,MRWA values are already stripped of their network cluster name
20,MRWA,31.12 Water Cutting,3,Retexturing,"Naming. Delete ""…is…""",MRWA values are already stripped of their network cluster name
21,MRWA,31.17 Main Roads Project Management and Supervision,202,,,MRWA values are already stripped of their network cluster name
22,MRWA,31.18 Dump Site Preparation and Management,303,,,MRWA values are already stripped of their network cluster name
23,VIC,AO-Thin Asphalt Overlay,724,Resurfacing_AC,,VIC values are already stripped of more detailed explanations
24,VIC,Asphalt - Remove and Replace,43,Resurfacing_AC,,VIC values are already stripped of more detailed explanations
25,VIC,Asphalt Overlay > 40mm/ R&R Asphalt,1,Rehabilitation,Maybe check with Bruce.  If >40mm is it structural and thyerefore rehabilitation?,VIC values are already stripped of more detailed explanations
26,VIC,FS-Final Seal,324,Resurfacing_SS,,VIC values are already stripped of more detailed explanations
27,VIC,Final Seal,6,Resurfacing_SS,,VIC values are already stripped of more detailed explanations
28,VIC,GEO,45,Resurfacing_SS,,VIC values are already stripped of more detailed explanations
29,VIC,GR-Granular Resheet,75,Rehabilitation,Change,VIC values are already stripped of more detailed explanations
30,VIC,GS-Geotextile Seal,403,Resurfacing_SS,,VIC values are already stripped of more detailed explanations
31,VIC,MP-Major Patching,245,Major Patching,,VIC values are already stripped of more detailed explanations
32,VIC,MS-Modified Seal,2587,Resurfacing_SS,,VIC values are already stripped of more detailed explanations
33,VIC,Mod Reseal BSRS 10 (SAM),9,Resurfacing_SS,,VIC values are already stripped of more detailed explanations
34,VIC,Mod Reseal BSRS 14 (SAM),30,Resurfacing_SS,,VIC values are already stripped of more detailed explanations
35,VIC,OGA,1,Resurfacing_AC,,VIC values are already stripped of more detailed explanations
